product_id,m5_item_id,date,demand,week,category
P01,FOODS_3_586,2011-01-29,516,1,FOODS
P01,FOODS_3_586,2011-01-30,479,1,FOODS
P01,FOODS_3_586,2011-01-31,328,1,FOODS
P01,FOODS_3_586,2011-02-01,376,1,FOODS
P01,FOODS_3_586,2011-02-02,319,1,FOODS
P01,FOODS_3_586,2011-02-03,430,1,FOODS
P01,FOODS_3_586,2011-02-04,405,1,FOODS
P01,FOODS_3_586,2011-02-05,624,2,FOODS
P01,FOODS_3_586,2011-02-06,537,2,FOODS
P01,FOODS_3_586,2011-02-07,432,2,FOODS
P01,FOODS_3_586,2011-02-08,386,2,FOODS
P01,FOODS_3_586,2011-02-09,391,2,FOODS
P01,FOODS_3_586,2011-02-10,369,2,FOODS
P01,FOODS_3_586,2011-02-11,529,2,FOODS
P01,FOODS_3_586,2011-02-12,713,3,FOODS
P01,FOODS_3_586,2011-02-13,713,3,FOODS
P01,FOODS_3_586,2011-02-14,452,3,FOODS
P01,FOODS_3_586,2011-02-15,462,3,FOODS
P01,FOODS_3_586,2011-02-16,385,3,FOODS
P01,FOODS_3_586,2011-02-17,399,3,FOODS
P01,FOODS_3_586,2011-02-18,489,3,FOODS
P01,FOODS_3_586,2011-02-19,608,4,FOODS
P01,FOODS_3_586,2011-02-20,564,4,FOODS
P01,FOODS_3_586,2011-02-21,378,4,FOODS
P01,FOODS_3_586,2011-02-22,434,4,FOODS
P01,FOODS_3_586,2011-02-23,397,4,FOODS
P01,FOODS_3_586,2011-02-24,381,4,FOODS
P01,FOODS_3_586,2011-02-25,488,4,FOODS
P01,FOODS_3_586,2011-02-26,568,5,FOODS
P01,FOODS_3_586,2011-02-27,568,5,FOODS
P01,FOODS_3_586,2011-02-28,357,5,FOODS
P01,FOODS_3_586,2011-03-01,448,5,FOODS
P01,FOODS_3_586,2011-03-02,416,5,FOODS
P01,FOODS_3_586,2011-03-03,454,5,FOODS
P01,FOODS_3_586,2011-03-04,508,5,FOODS
P01,FOODS_3_586,2011-03-05,618,6,FOODS
P01,FOODS_3_586,2011-03-06,617,6,FOODS
P01,FOODS_3_586,2011-03-07,410,6,FOODS
P01,FOODS_3_586,2011-03-08,431,6,FOODS
P01,FOODS_3_586,2011-03-09,416,6,FOODS
P01,FOODS_3_586,2011-03-10,440,6,FOODS
P01,FOODS_3_586,2011-03-11,467,6,FOODS
P01,FOODS_3_586,2011-03-12,625,7,FOODS
P01,FOODS_3_586,2011-03-13,556,7,FOODS
P01,FOODS_3_586,2011-03-14,413,7,FOODS
P01,FOODS_3_586,2011-03-15,450,7,FOODS
P01,FOODS_3_586,2011-03-16,395,7,FOODS
P01,FOODS_3_586,2011-03-17,460,7,FOODS
P01,FOODS_3_586,2011-03-18,433,7,FOODS
P01,FOODS_3_586,2011-03-19,540,8,FOODS
P01,FOODS_3_586,2011-03-20,640,8,FOODS
P01,FOODS_3_586,2011-03-21,418,8,FOODS
P01,FOODS_3_586,2011-03-22,405,8,FOODS
P01,FOODS_3_586,2011-03-23,394,8,FOODS
P01,FOODS_3_586,2011-03-24,385,8,FOODS
P01,FOODS_3_586,2011-03-25,421,8,FOODS
P01,FOODS_3_586,2011-03-26,543,9,FOODS
P01,FOODS_3_586,2011-03-27,549,9,FOODS
P01,FOODS_3_586,2011-03-28,371,9,FOODS
P01,FOODS_3_586,2011-03-29,357,9,FOODS
P01,FOODS_3_586,2011-03-30,367,9,FOODS
P01,FOODS_3_586,2011-03-31,469,9,FOODS
P01,FOODS_3_586,2011-04-01,553,9,FOODS
P01,FOODS_3_586,2011-04-02,628,10,FOODS
P01,FOODS_3_586,2011-04-03,623,10,FOODS
P01,FOODS_3_586,2011-04-04,473,10,FOODS
P01,FOODS_3_586,2011-04-05,412,10,FOODS
P01,FOODS_3_586,2011-04-06,423,10,FOODS
P01,FOODS_3_586,2011-04-07,372,10,FOODS
P01,FOODS_3_586,2011-04-08,446,10,FOODS
P01,FOODS_3_586,2011-04-09,623,11,FOODS
P01,FOODS_3_586,2011-04-10,665,11,FOODS
P01,FOODS_3_586,2011-04-11,470,11,FOODS
P01,FOODS_3_586,2011-04-12,448,11,FOODS
P01,FOODS_3_586,2011-04-13,428,11,FOODS
P01,FOODS_3_586,2011-04-14,412,11,FOODS
P01,FOODS_3_586,2011-04-15,487,11,FOODS
P01,FOODS_3_586,2011-04-16,646,12,FOODS
P01,FOODS_3_586,2011-04-17,637,12,FOODS
P01,FOODS_3_586,2011-04-18,456,12,FOODS
P01,FOODS_3_586,2011-04-19,430,12,FOODS
P01,FOODS_3_586,2011-04-20,464,12,FOODS
P01,FOODS_3_586,2011-04-21,408,12,FOODS
P01,FOODS_3_586,2011-04-22,588,12,FOODS
P01,FOODS_3_586,2011-04-23,675,13,FOODS
P01,FOODS_3_586,2011-04-24,656,13,FOODS
P01,FOODS_3_586,2011-04-25,414,13,FOODS
P01,FOODS_3_586,2011-04-26,341,13,FOODS
P01,FOODS_3_586,2011-04-27,409,13,FOODS
P01,FOODS_3_586,2011-04-28,366,13,FOODS
P01,FOODS_3_586,2011-04-29,516,13,FOODS
P01,FOODS_3_586,2011-04-30,598,14,FOODS
P01,FOODS_3_586,2011-05-01,643,14,FOODS
P01,FOODS_3_586,2011-05-02,481,14,FOODS
P01,FOODS_3_586,2011-05-03,486,14,FOODS
P01,FOODS_3_586,2011-05-04,418,14,FOODS
P01,FOODS_3_586,2011-05-05,507,14,FOODS
P01,FOODS_3_586,2011-05-06,534,14,FOODS
P01,FOODS_3_586,2011-05-07,641,15,FOODS
P01,FOODS_3_586,2011-05-08,652,15,FOODS
P01,FOODS_3_586,2011-05-09,486,15,FOODS
P01,FOODS_3_586,2011-05-10,436,15,FOODS
P01,FOODS_3_586,2011-05-11,405,15,FOODS
P01,FOODS_3_586,2011-05-12,441,15,FOODS
P01,FOODS_3_586,2011-05-13,583,15,FOODS
P01,FOODS_3_586,2011-05-14,545,16,FOODS
P01,FOODS_3_586,2011-05-15,591,16,FOODS
P01,FOODS_3_586,2011-05-16,375,16,FOODS
P01,FOODS_3_586,2011-05-17,409,16,FOODS
P01,FOODS_3_586,2011-05-18,356,16,FOODS
P01,FOODS_3_586,2011-05-19,419,16,FOODS
P01,FOODS_3_586,2011-05-20,508,16,FOODS
P01,FOODS_3_586,2011-05-21,602,17,FOODS
P01,FOODS_3_586,2011-05-22,594,17,FOODS
P01,FOODS_3_586,2011-05-23,479,17,FOODS
P01,FOODS_3_586,2011-05-24,437,17,FOODS
P01,FOODS_3_586,2011-05-25,440,17,FOODS
P01,FOODS_3_586,2011-05-26,463,17,FOODS
P01,FOODS_3_586,2011-05-27,514,17,FOODS
P01,FOODS_3_586,2011-05-28,567,18,FOODS
P01,FOODS_3_586,2011-05-29,519,18,FOODS
P01,FOODS_3_586,2011-05-30,523,18,FOODS
P01,FOODS_3_586,2011-05-31,383,18,FOODS
P01,FOODS_3_586,2011-06-01,525,18,FOODS
P01,FOODS_3_586,2011-06-02,488,18,FOODS
P01,FOODS_3_586,2011-06-03,643,18,FOODS
P01,FOODS_3_586,2011-06-04,633,19,FOODS
P01,FOODS_3_586,2011-06-05,673,19,FOODS
P01,FOODS_3_586,2011-06-06,475,19,FOODS
P01,FOODS_3_586,2011-06-07,564,19,FOODS
P01,FOODS_3_586,2011-06-08,476,19,FOODS
P01,FOODS_3_586,2011-06-09,521,19,FOODS
P01,FOODS_3_586,2011-06-10,504,19,FOODS
P01,FOODS_3_586,2011-06-11,606,20,FOODS
P01,FOODS_3_586,2011-06-12,634,20,FOODS
P01,FOODS_3_586,2011-06-13,506,20,FOODS
P01,FOODS_3_586,2011-06-14,511,20,FOODS
P01,FOODS_3_586,2011-06-15,550,20,FOODS
P01,FOODS_3_586,2011-06-16,495,20,FOODS
P01,FOODS_3_586,2011-06-17,567,20,FOODS
P01,FOODS_3_586,2011-06-18,688,21,FOODS
P01,FOODS_3_586,2011-06-19,673,21,FOODS
P01,FOODS_3_586,2011-06-20,460,21,FOODS
P01,FOODS_3_586,2011-06-21,464,21,FOODS
P01,FOODS_3_586,2011-06-22,390,21,FOODS
P01,FOODS_3_586,2011-06-23,436,21,FOODS
P01,FOODS_3_586,2011-06-24,465,21,FOODS
P01,FOODS_3_586,2011-06-25,561,22,FOODS
P01,FOODS_3_586,2011-06-26,569,22,FOODS
P01,FOODS_3_586,2011-06-27,423,22,FOODS
P01,FOODS_3_586,2011-06-28,407,22,FOODS
P01,FOODS_3_586,2011-06-29,418,22,FOODS
P01,FOODS_3_586,2011-06-30,472,22,FOODS
P01,FOODS_3_586,2011-07-01,744,22,FOODS
P01,FOODS_3_586,2011-07-02,683,23,FOODS
P01,FOODS_3_586,2011-07-03,687,23,FOODS
P01,FOODS_3_586,2011-07-04,542,23,FOODS
P01,FOODS_3_586,2011-07-05,471,23,FOODS
P01,FOODS_3_586,2011-07-06,440,23,FOODS
P01,FOODS_3_586,2011-07-07,473,23,FOODS
P01,FOODS_3_586,2011-07-08,565,23,FOODS
P01,FOODS_3_586,2011-07-09,746,24,FOODS
P01,FOODS_3_586,2011-07-10,667,24,FOODS
P01,FOODS_3_586,2011-07-11,481,24,FOODS
P01,FOODS_3_586,2011-07-12,468,24,FOODS
P01,FOODS_3_586,2011-07-13,427,24,FOODS
P01,FOODS_3_586,2011-07-14,472,24,FOODS
P01,FOODS_3_586,2011-07-15,604,24,FOODS
P01,FOODS_3_586,2011-07-16,633,25,FOODS
P01,FOODS_3_586,2011-07-17,661,25,FOODS
P01,FOODS_3_586,2011-07-18,509,25,FOODS
P01,FOODS_3_586,2011-07-19,397,25,FOODS
P01,FOODS_3_586,2011-07-20,463,25,FOODS
P01,FOODS_3_586,2011-07-21,503,25,FOODS
P01,FOODS_3_586,2011-07-22,541,25,FOODS
P01,FOODS_3_586,2011-07-23,628,26,FOODS
P01,FOODS_3_586,2011-07-24,631,26,FOODS
P01,FOODS_3_586,2011-07-25,507,26,FOODS
P01,FOODS_3_586,2011-07-26,437,26,FOODS
P01,FOODS_3_586,2011-07-27,399,26,FOODS
P01,FOODS_3_586,2011-07-28,398,26,FOODS
P01,FOODS_3_586,2011-07-29,478,26,FOODS
P01,FOODS_3_586,2011-07-30,681,27,FOODS
P01,FOODS_3_586,2011-07-31,681,27,FOODS
P01,FOODS_3_586,2011-08-01,591,27,FOODS
P01,FOODS_3_586,2011-08-02,502,27,FOODS
P01,FOODS_3_586,2011-08-03,565,27,FOODS
P01,FOODS_3_586,2011-08-04,550,27,FOODS
P01,FOODS_3_586,2011-08-05,666,27,FOODS
P01,FOODS_3_586,2011-08-06,759,28,FOODS
P01,FOODS_3_586,2011-08-07,817,28,FOODS
P01,FOODS_3_586,2011-08-08,573,28,FOODS
P01,FOODS_3_586,2011-08-09,607,28,FOODS
P01,FOODS_3_586,2011-08-10,587,28,FOODS
P01,FOODS_3_586,2011-08-11,540,28,FOODS
P01,FOODS_3_586,2011-08-12,730,28,FOODS
P01,FOODS_3_586,2011-08-13,805,29,FOODS
P01,FOODS_3_586,2011-08-14,820,29,FOODS
P01,FOODS_3_586,2011-08-15,655,29,FOODS
P01,FOODS_3_586,2011-08-16,611,29,FOODS
P01,FOODS_3_586,2011-08-17,567,29,FOODS
P01,FOODS_3_586,2011-08-18,570,29,FOODS
P01,FOODS_3_586,2011-08-19,723,29,FOODS
P01,FOODS_3_586,2011-08-20,872,30,FOODS
P01,FOODS_3_586,2011-08-21,908,30,FOODS
P01,FOODS_3_586,2011-08-22,662,30,FOODS
P01,FOODS_3_586,2011-08-23,599,30,FOODS
P01,FOODS_3_586,2011-08-24,511,30,FOODS
P01,FOODS_3_586,2011-08-25,457,30,FOODS
P01,FOODS_3_586,2011-08-26,574,30,FOODS
P01,FOODS_3_586,2011-08-27,721,31,FOODS
P01,FOODS_3_586,2011-08-28,787,31,FOODS
P01,FOODS_3_586,2011-08-29,480,31,FOODS
P01,FOODS_3_586,2011-08-30,456,31,FOODS
P01,FOODS_3_586,2011-08-31,457,31,FOODS
P01,FOODS_3_586,2011-09-01,651,31,FOODS
P01,FOODS_3_586,2011-09-02,714,31,FOODS
P01,FOODS_3_586,2011-09-03,801,32,FOODS
P01,FOODS_3_586,2011-09-04,536,32,FOODS
P01,FOODS_3_586,2011-09-05,608,32,FOODS
P01,FOODS_3_586,2011-09-06,492,32,FOODS
P01,FOODS_3_586,2011-09-07,526,32,FOODS
P01,FOODS_3_586,2011-09-08,476,32,FOODS
P01,FOODS_3_586,2011-09-09,676,32,FOODS
P01,FOODS_3_586,2011-09-10,677,33,FOODS
P01,FOODS_3_586,2011-09-11,820,33,FOODS
P01,FOODS_3_586,2011-09-12,557,33,FOODS
P01,FOODS_3_586,2011-09-13,510,33,FOODS
P01,FOODS_3_586,2011-09-14,484,33,FOODS
P01,FOODS_3_586,2011-09-15,524,33,FOODS
P01,FOODS_3_586,2011-09-16,619,33,FOODS
P01,FOODS_3_586,2011-09-17,666,34,FOODS
P01,FOODS_3_586,2011-09-18,657,34,FOODS
P01,FOODS_3_586,2011-09-19,509,34,FOODS
P01,FOODS_3_586,2011-09-20,501,34,FOODS
P01,FOODS_3_586,2011-09-21,498,34,FOODS
P01,FOODS_3_586,2011-09-22,470,34,FOODS
P01,FOODS_3_586,2011-09-23,529,34,FOODS
P01,FOODS_3_586,2011-09-24,696,35,FOODS
P01,FOODS_3_586,2011-09-25,677,35,FOODS
P01,FOODS_3_586,2011-09-26,489,35,FOODS
P01,FOODS_3_586,2011-09-27,441,35,FOODS
P01,FOODS_3_586,2011-09-28,456,35,FOODS
P01,FOODS_3_586,2011-09-29,445,35,FOODS
P01,FOODS_3_586,2011-09-30,587,35,FOODS
P01,FOODS_3_586,2011-10-01,738,36,FOODS
P01,FOODS_3_586,2011-10-02,749,36,FOODS
P01,FOODS_3_586,2011-10-03,534,36,FOODS
P01,FOODS_3_586,2011-10-04,491,36,FOODS
P01,FOODS_3_586,2011-10-05,554,36,FOODS
P01,FOODS_3_586,2011-10-06,534,36,FOODS
P01,FOODS_3_586,2011-10-07,653,36,FOODS
P01,FOODS_3_586,2011-10-08,655,37,FOODS
P01,FOODS_3_586,2011-10-09,710,37,FOODS
P01,FOODS_3_586,2011-10-10,492,37,FOODS
P01,FOODS_3_586,2011-10-11,541,37,FOODS
P01,FOODS_3_586,2011-10-12,541,37,FOODS
P01,FOODS_3_586,2011-10-13,556,37,FOODS
P01,FOODS_3_586,2011-10-14,653,37,FOODS
P01,FOODS_3_586,2011-10-15,764,38,FOODS
P01,FOODS_3_586,2011-10-16,735,38,FOODS
P01,FOODS_3_586,2011-10-17,525,38,FOODS
P01,FOODS_3_586,2011-10-18,435,38,FOODS
P01,FOODS_3_586,2011-10-19,420,38,FOODS
P01,FOODS_3_586,2011-10-20,446,38,FOODS
P01,FOODS_3_586,2011-10-21,550,38,FOODS
P01,FOODS_3_586,2011-10-22,639,39,FOODS
P01,FOODS_3_586,2011-10-23,657,39,FOODS
P01,FOODS_3_586,2011-10-24,509,39,FOODS
P01,FOODS_3_586,2011-10-25,480,39,FOODS
P01,FOODS_3_586,2011-10-26,470,39,FOODS
P01,FOODS_3_586,2011-10-27,509,39,FOODS
P01,FOODS_3_586,2011-10-28,604,39,FOODS
